,Id,Period,Time,Type,Goal,Assist,Season
1,188617,1. část,10:48,-,97 Ondřej Zeman,73 Kryštof Hoch,2017/2018
2,188617,3. část,08:09,PS,77 Daniel Klugar,,2017/2018
0,188620,1. část,07:17,-,73 Kryštof Hoch,17 Jakub Hruška,2017/2018
1,188620,1. část,09:06,PP,97 Ondřej Zeman,9 Jakub Klement,2017/2018
2,188620,2. část,05:32,-,16 Mikuláš Vyleta,73 Kryštof Hoch,2017/2018
3,188620,2. část,07:55,-,16 Mikuláš Vyleta,3 Jakub Rejf,2017/2018
4,188620,2. část,08:39,-,77 Daniel Klugar,9 Jakub Klement,2017/2018
0,190306,1. část,05:30,-,77 Daniel Klugar,11 Filip Terč,2017/2018
1,190306,1. část,09:40,-,17 Jakub Hruška,97 Ondřej Zeman,2017/2018
2,190306,1. část,11:25,-,97 Ondřej Zeman,17 Jakub Hruška,2017/2018
3,190306,3. část,09:01,-,17 Jakub Hruška,,2017/2018
0,197395,1. část,10:09,-,73 Kryštof Hoch,77 Daniel Klugar,2017/2018
1,197395,2. část,07:21,-,17 Jakub Hruška,97 Ondřej Zeman,2017/2018
0,190313,1. část,01:07,-,18 Michal Šíma,73 Kryštof Hoch,2017/2018
1,190313,2. část,01:09,-,16 Mikuláš Vyleta,18 Michal Šíma,2017/2018
2,190313,2. část,05:46,PS,9 Jakub Klement,,2017/2018
3,190313,2. část,07:54,-,97 Ondřej Zeman,,2017/2018
4,190313,2. část,11:12,PS,9 Jakub Klement,,2017/2018
5,190313,3. část,05:48,-,16 Mikuláš Vyleta,18 Michal Šíma,2017/2018
6,190313,3. část,08:43,PP,9 Jakub Klement,,2017/2018
0,199709,1. část,09:00,-,97 Ondřej Zeman,73 Kryštof Hoch,2017/2018
1,199709,1. část,10:22,-,73 Kryštof Hoch,15 Vojtěch Brávek,2017/2018
2,199709,2. část,02:07,-,77 Daniel Klugar,97 Ondřej Zeman,2017/2018
3,199709,2. část,05:58,-,97 Ondřej Zeman,73 Kryštof Hoch,2017/2018
4,199709,3. část,06:43,-,73 Kryštof Hoch,,2017/2018
0,202065,1. část,00:33,-,4 Stanislav Kodet,15 Vojtěch Brávek,2017/2018
1,202065,1. část,00:58,-,97 Ondřej Zeman,9 Jakub Klement,2017/2018
2,202065,1. část,05:30,PP,73 Kryštof Hoch,9 Jakub Klement,2017/2018
3,202065,2. část,09:19,-,15 Vojtěch Brávek,,2017/2018
4,202065,2. část,11:13,-,15 Vojtěch Brávek,72 Jaroslav Soldán,2017/2018
5,202065,3. část,05:22,-,15 Vojtěch Brávek,,2017/2018
0,202049,1. část,02:31,-,15 Vojtěch Brávek,77 Daniel Klugar,2017/2018
1,202049,1. část,05:05,PP,17 Jakub Hruška,11 Filip Terč,2017/2018
2,202049,2. část,01:37,-,18 Michal Šíma,73 Kryštof Hoch,2017/2018
3,202049,2. část,08:59,-,97 Ondřej Zeman,9 Jakub Klement,2017/2018
4,202049,2. část,09:27,-,9 Jakub Klement,17 Jakub Hruška,2017/2018
5,202049,3. část,05:45,-,17 Jakub Hruška,11 Filip Terč,2017/2018
0,206061,1. část,00:38,-,9 Jakub Klement,97 Ondřej Zeman,2017/2018
1,206061,1. část,04:19,-,18 Michal Šíma,17 Jakub Hruška,2017/2018
2,206061,2. část,03:08,-,97 Ondřej Zeman,17 Jakub Hruška,2017/2018
3,206061,2. část,05:57,-,97 Ondřej Zeman,17 Jakub Hruška,2017/2018
4,206061,2. část,06:42,-,18 Michal Šíma,97 Ondřej Zeman,2017/2018
5,206061,2. část,09:33,-,77 Daniel Klugar,15 Vojtěch Brávek,2017/2018
0,206070,1. část,01:47,-,17 Jakub Hruška,15 Vojtěch Brávek,2017/2018
1,206070,1. část,08:49,-,15 Vojtěch Brávek,97 Ondřej Zeman,2017/2018
2,206070,2. část,00:33,-,97 Ondřej Zeman,77 Daniel Klugar,2017/2018
3,206070,2. část,11:28,-,15 Vojtěch Brávek,97 Ondřej Zeman,2017/2018
4,206070,3. část,04:05,-,15 Vojtěch Brávek,,2017/2018
5,206070,3. část,05:33,-,18 Michal Šíma,9 Jakub Klement,2017/2018
0,211408,1. část,09:29,-,9 Jakub Klement,16 Mikuláš Vyleta,2017/2018
1,211408,1. část,10:50,SH,77 Daniel Klugar,97 Ondřej Zeman,2017/2018
2,211408,2. část,08:39,-,73 Kryštof Hoch,97 Ondřej Zeman,2017/2018
