,Id,Period,Time,Type,Goal,Assist,Season
12,177651,3. část,11:09,-,32 Petr Kaša,2 Petr Kohout,2016/2017
13,177651,3. část,11:15,-,91 Michal Kuruc,12 Jan Paulovič,2016/2017
0,181133,3. část,01:08,-,17 Stanislav Lepič,7 Tomáš Dlouhý,2016/2017
1,181133,3. část,03:02,-,93 Michal Čermák,,2016/2017
2,181133,3. část,11:53,-,93 Michal Čermák,99 Michal Šnobl,2016/2017
0,181139,1. část,09:00,-,21 Vojtěch Dlouhý,12 Vojtěch Svoboda,2016/2017
1,181139,1. část,11:43,-,8 Vladimír Bradáč,12 Vojtěch Svoboda,2016/2017
2,181139,2. část,04:58,-,11 Vít Novotný,14 Michal Kramoliš,2016/2017
3,181139,2. část,11:47,PS,21 Vojtěch Dlouhý,,2016/2017
4,181139,3. část,00:13,-,15 Václav Böhm,17 Jiří Novák,2016/2017
0,184416,1. část,04:40,-,91 Luboš Berka,89 David Volek,2016/2017
1,184416,3. část,08:53,-,40 Aleš Kůdela,47 Petr Benedikt,2016/2017
0,184419,1. část,01:01,-,2 Petr Kohout,68 Pavel Kohout,2016/2017
1,184419,1. část,03:00,-,68 Pavel Kohout,54 Lukáš Bozděch,2016/2017
2,184419,1. část,11:00,-,2 Petr Kohout,68 Pavel Kohout,2016/2017
3,184419,2. část,01:18,-,91 Michal Kuruc,87 Josef Vlček,2016/2017
4,184419,2. část,06:11,-,93 František Podaný,68 Pavel Kohout,2016/2017
5,184419,2. část,06:57,-,93 František Podaný,2 Petr Kohout,2016/2017
6,184419,2. část,11:57,-,87 Josef Vlček,14 Tomáš Kriebel,2016/2017
7,184419,3. část,09:20,-,68 Pavel Kohout,2 Petr Kohout,2016/2017
0,186566,2. část,03:51,-,11 Jiří Svoboda,14 Bořek Sláma,2016/2017
1,186566,2. část,06:03,-,21 Marek Toráč,,2016/2017
2,186566,2. část,11:11,-,16 Radim Onderka,21 Marek Toráč,2016/2017
3,186566,3. část,01:02,-,16 Radim Onderka,14 Bořek Sláma,2016/2017
4,186566,3. část,11:16,-,14 Bořek Sláma,,2016/2017
0,186570,1. část,02:46,-,8 Prokop Kocur,15 Vojtěch Hecl,2016/2017
