,Id,Player,G,A,PTS,Season,Team_against,Team_for
2,153426,11 David Haring (U),0,1,1,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
3,153426,12 Jan Paulovič (U),0,0,0,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
4,153426,14 Tomáš Kriebel (U),0,1,1,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
5,153426,32 Petr Kaša (U),1,0,1,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
6,153426,54 Lukáš Bozděch (U),0,0,0,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
7,153426,68 Pavel Kohout (U),1,0,1,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
8,153426,91 Michal Kuruc (U),3,0,3,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
0,155310,4 David Östereicher (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
1,155310,7 Michal Petrbok (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
2,155310,13 Václav Östereicher (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
3,155310,18 Martin Váňa (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
4,155310,21 Marek Toráč (U),1,0,1,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
5,155310,23 Lukáš Žiga (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
6,155310,44 Martin Östereicher (U),1,0,1,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
7,155310,77 Ondřej Vaněček (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
8,155310,87 Jiří Nekvinda (U),1,0,1,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
9,155310,88 Lukáš Kováříček (U),0,0,0,2015/2016,FBC Penguins Praha,Gladiátor Team Beroun B
0,155930,22 Bohuslav Bek (U),0,1,1,2015/2016,FBC Penguins Praha,TJ Kyje
1,155930,44 Tomáš Svoboda (U),1,0,1,2015/2016,FBC Penguins Praha,TJ Kyje
2,155930,73 Jakub Hokr (U),0,1,1,2015/2016,FBC Penguins Praha,TJ Kyje
3,155930,75 Jakub Kaštánek (U),1,0,1,2015/2016,FBC Penguins Praha,TJ Kyje
4,155930,77 Martin Chýle (U),1,0,1,2015/2016,FBC Penguins Praha,TJ Kyje
5,155930,88 Tomáš Koudelka (U),0,0,0,2015/2016,FBC Penguins Praha,TJ Kyje
6,155930,94 Petr Chýle (U),1,0,1,2015/2016,FBC Penguins Praha,TJ Kyje
0,158160,3 Michal Rydlo (O),0,0,0,2016/2017,FBC Penguins Praha,IBK Svatý hole Kladno B
1,158160,8 Lukáš Vrba (U),1,0,1,2016/2017,FBC Penguins Praha,IBK Svatý hole Kladno B
2,158160,9 Pavel Hušák (O),1,1,2,2016/2017,FBC Penguins Praha,IBK Svatý hole Kladno B
3,158160,14 Václav Babor (U),2,1,3,2016/2017,FBC Penguins Praha,IBK Svatý hole Kladno B
4,158160,18 Jan Juklíček (U),2,2,4,2016/2017,FBC Penguins Praha,IBK Svatý hole Kladno B
5,158160,21 Jindřich Buša (U),0,0,0,2016/2017,FBC Penguins Praha,IBK Svatý hole Kladno B
6,158160,23 Matouš Vlasák (U),0,0,0,2016/2017,FBC Penguins Praha,IBK Svatý hole Kladno B
7,158160,24 Václav Juklíček (U),0,0,0,2016/2017,FBC Penguins Praha,IBK Svatý hole Kladno B
8,158160,29 Jiří Bareš (U),0,1,1,2016/2017,FBC Penguins Praha,IBK Svatý hole Kladno B
9,158160,51 Michal Šmíd (U),2,1,3,2016/2017,FBC Penguins Praha,IBK Svatý hole Kladno B
10,158160,88 Tomáš Hušák (U),0,0,0,2016/2017,FBC Penguins Praha,IBK Svatý hole Kladno B
