,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
1,211408,1,10:50,SH, Daniel Klugar, Ondřej Zeman,2017/2018,10,50,650
2,211408,2,08:39,-, Kryštof Hoch, Ondřej Zeman,2017/2018,8,39,519
3,211408,3,07:43,-, Jakub Klement, Ondřej Zeman,2017/2018,7,43,463
4,211408,3,11:14,-, Jakub Klement, Kryštof Hoch,2017/2018,11,14,674
5,211408,3,11:56,-, Ondřej Zeman, Jakub Klement,2017/2018,11,56,716
0,211427,1,04:47,-, Kryštof Hoch, Mikuláš Vyleta,2017/2018,4,47,287
1,211427,2,04:27,-, Kryštof Hoch, Jakub Hruška,2017/2018,4,27,267
2,211427,2,06:39,SH, Vojtěch Brávek,,2017/2018,6,39,399
3,211427,3,01:14,-, Mikuláš Vyleta, Jakub Klement,2017/2018,1,14,74
4,211427,3,06:01,-, Jakub Hruška, Michal Šíma,2017/2018,6,1,361
5,211427,3,06:33,-, Mikuláš Vyleta, Daniel Klugar,2017/2018,6,33,393
6,211427,3,07:10,-, Kryštof Hoch,,2017/2018,7,10,430
0,214987,1,07:44,-, Ondřej Zeman, Jakub Klement,2017/2018,7,44,464
1,214987,2,07:39,-, Filip Terč, Jaroslav Soldán,2017/2018,7,39,459
2,214987,3,01:45,-, Stanislav Kodet,,2017/2018,1,45,105
3,214987,3,03:18,-, Daniel Klugar, Jaroslav Soldán,2017/2018,3,18,198
4,214987,3,04:22,-, Jakub Klement, Ondřej Zeman,2017/2018,4,22,262
5,214987,3,04:33,-, Michal Šíma, Kryštof Hoch,2017/2018,4,33,273
6,214987,3,10:40,-, Daniel Klugar, Filip Terč,2017/2018,10,40,640
0,214982,1,01:04,-, Jakub Klement, Ondřej Zeman,2017/2018,1,4,64
1,214982,1,04:12,-, Jakub Hruška, Ondřej Zeman,2017/2018,4,12,252
0,222086,3,05:57,-, Michal Šíma, Jakub Hruška,2018/2019,5,57,357
1,222086,3,06:03,-, Jakub Hruška, Michal Šíma,2018/2019,6,3,363
0,222085,1,00:41,-, Jakub Hruška, Mikuláš Vyleta,2018/2019,0,41,41
1,222085,1,06:09,-, Václav Boček, Michal Šíma,2018/2019,6,9,369
2,222085,1,09:20,-, Jakub Klement, Jakub Hruška,2018/2019,9,20,560
3,222085,2,04:11,-, Jakub Klement, Václav Boček,2018/2019,4,11,251
4,222085,2,06:56,-, Jakub Hruška, Mikuláš Vyleta,2018/2019,6,56,416
5,222085,3,05:08,-, Jakub Hruška, Michal Šíma,2018/2019,5,8,308
6,222085,3,08:12,PP, Michal Šíma, Jakub Hruška,2018/2019,8,12,492
7,222085,3,08:35,-, Václav Boček, Jakub Hruška,2018/2019,8,35,515
8,222085,3,11:04,-, Jakub Klement, Michal Šíma,2018/2019,11,4,664
0,225356,1,04:14,-, Václav Boček,,2018/2019,4,14,254
1,225356,1,05:17,-, Mikuláš Vyleta, Jakub Hruška,2018/2019,5,17,317
2,225356,2,05:24,PP, Václav Boček, Kryštof Hoch,2018/2019,5,24,324
3,225356,2,05:52,-, Jakub Hruška, Jakub Klement,2018/2019,5,52,352
4,225356,3,10:52,-, Mikuláš Vyleta, Jakub Klement,2018/2019,10,52,652
0,225354,1,05:13,-, Michal Šíma, Václav Boček,2018/2019,5,13,313
1,225354,1,08:15,-, Ondřej Zeman, Mikuláš Vyleta,2018/2019,8,15,495
2,225354,1,09:34,-, Daniel Klugar,,2018/2019,9,34,574
3,225354,2,11:17,-, Václav Boček, Michal Šíma,2018/2019,11,17,677
4,225354,3,07:13,-, Daniel Klugar, Václav Boček,2018/2019,7,13,433
0,229020,2,03:12,-, Daniel Klugar, Václav Boček,2018/2019,3,12,192
1,229020,2,11:10,-, Mikuláš Vyleta, Daniel Klugar,2018/2019,11,10,670
2,229020,3,00:29,-, Mikuláš Vyleta, Václav Boček,2018/2019,0,29,29
0,229018,1,07:38,-, Stanislav Kodet, Michal Šíma,2018/2019,7,38,458
1,229018,1,09:58,-, Václav Boček, Michal Šíma,2018/2019,9,58,598
2,229018,2,00:58,-, Daniel Klugar, Michal Šíma,2018/2019,0,58,58
3,229018,2,09:43,PP, Stanislav Kodet, Jakub Klement,2018/2019,9,43,583
4,229018,3,01:08,-, Václav Boček, Daniel Klugar,2018/2019,1,8,68
0,234993,2,07:27,-, Václav Boček, Ondřej Zeman,2018/2019,7,27,447
1,234993,3,08:31,-, Kryštof Hoch,,2018/2019,8,31,511
2,234993,3,09:04,-, Václav Boček,,2018/2019,9,4,544
0,235067,1,03:14,-, Mikuláš Vyleta,,2018/2019,3,14,194
1,235067,1,05:22,PP, Kryštof Hoch, Jakub Hruška,2018/2019,5,22,322
2,235067,2,04:10,-, Jakub Klement, Jakub Hruška,2018/2019,4,10,250
3,235067,2,11:04,-, Jakub Hruška, Daniel Klugar,2018/2019,11,4,664
4,235067,3,00:24,-, Ondřej Zeman, Jakub Hruška,2018/2019,0,24,24
5,235067,3,04:14,-, Jakub Hruška, Jaroslav Soldán,2018/2019,4,14,254
6,235067,3,08:18,-, Martin Bukovič, Jakub Hruška,2018/2019,8,18,498
7,235067,3,08:48,-, Daniel Klugar, Martin Bukovič,2018/2019,8,48,528
0,237790,1,01:50,-, Michal Šíma, Václav Boček,2018/2019,1,50,110
1,237790,2,00:44,-, Daniel Klugar, Jaroslav Soldán,2018/2019,0,44,44
2,237790,2,04:47,-, Daniel Klugar, Jaroslav Soldán,2018/2019,4,47,287
3,237790,2,05:13,-, Ondřej Zeman, Jakub Hruška,2018/2019,5,13,313
4,237790,2,07:02,-, Ondřej Zeman, Jakub Hruška,2018/2019,7,2,422
5,237790,2,09:15,-, Mikuláš Vyleta, Jaroslav Soldán,2018/2019,9,15,555
6,237790,3,02:48,-, Ondřej Zeman, Jakub Klement,2018/2019,2,48,168
7,237790,3,03:34,-, Václav Boček,,2018/2019,3,34,214
8,237790,3,07:41,-, Jakub Hruška,,2018/2019,7,41,461
9,237790,3,08:21,-, Michal Šíma, Václav Boček,2018/2019,8,21,501
0,237788,1,02:38,-, Filip Terč, Daniel Klugar,2018/2019,2,38,158
1,237788,1,06:52,-, Jakub Hruška, Mikuláš Vyleta,2018/2019,6,52,412
2,237788,3,07:12,PP, Václav Boček, Ondřej Zeman,2018/2019,7,12,432
3,237788,3,10:47,-, Jaroslav Soldán,,2018/2019,10,47,647
0,241681,1,01:23,-, Kryštof Hoch, Filip Terč,2018/2019,1,23,83
1,241681,1,08:12,-, Ondřej Zeman, Jakub Hruška,2018/2019,8,12,492
2,241681,3,03:29,-, Jaroslav Soldán, Kryštof Hoch,2018/2019,3,29,209
3,241681,3,03:42,-, Jakub Klement, Ondřej Zeman,2018/2019,3,42,222
4,241681,3,05:53,-, Filip Terč, Václav Boček,2018/2019,5,53,353
5,241681,3,09:55,-, Mikuláš Vyleta, Jakub Klement,2018/2019,9,55,595
0,244649,1,06:37,-, Jakub Klement, Michal Šíma,2018/2019,6,37,397
1,244649,1,09:34,-, Michal Šíma,,2018/2019,9,34,574
2,244649,2,11:04,-, Václav Boček, Kryštof Hoch,2018/2019,11,4,664
3,244649,2,11:37,-, Jaroslav Soldán, Kryštof Hoch,2018/2019,11,37,697
4,244649,3,00:35,-, Ondřej Zeman, Kryštof Hoch,2018/2019,0,35,35
5,244649,3,10:14,SH, Václav Boček, Ondřej Zeman,2018/2019,10,14,614
