,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
2,165178,3,04:00,-, Ctibor Chmelař, Adam Bardún,2016/2017,4,0,240
0,165180,1,03:56,-, Jakub Sládek, Michael Tichý,2016/2017,3,56,236
1,165180,1,08:01,-, Tomáš Pažout, Josef Hájek,2016/2017,8,1,481
2,165180,1,08:10,-, Jan Flaška, Jakub Sládek,2016/2017,8,10,490
3,165180,2,03:09,-, Josef Hájek, Jan Flaška,2016/2017,3,9,189
4,165180,2,10:46,-, Tomáš Pažout, Sebastian Pech,2016/2017,10,46,646
0,167687,1,01:02,-, Matouš Vlasák, Michal Šmíd,2016/2017,1,2,62
1,167687,1,01:33,-, Jan Marek,,2016/2017,1,33,93
2,167687,1,05:44,-, Václav Babor, Jiří Mencl,2016/2017,5,44,344
3,167687,1,06:09,-, Pavel Hušák, Matouš Vlasák,2016/2017,6,9,369
4,167687,1,11:09,-, Michal Šmíd, Tomáš Hušák,2016/2017,11,9,669
5,167687,2,08:46,-, Václav Babor, Jiří Mencl,2016/2017,8,46,526
6,167687,2,10:29,-, Jan Juklíček, Michal Šmíd,2016/2017,10,29,629
7,167687,2,10:52,-, Tomáš Hušák, Jan Marek,2016/2017,10,52,652
8,167687,2,11:48,-, Jiří Bareš, Matouš Vlasák,2016/2017,11,48,708
9,167687,3,02:00,-, Jiří Bareš, Michal Šmíd,2016/2017,2,0,120
10,167687,3,09:20,SH, Michal Šmíd, Pavel Hušák,2016/2017,9,20,560
11,167687,3,11:34,-, Václav Babor, Jan Marek,2016/2017,11,34,694
0,167690,1,07:47,-, Václav Měchura,,2016/2017,7,47,467
1,167690,1,08:20,-, Tomáš Kupec, Milan Češek,2016/2017,8,20,500
2,167690,1,08:55,-, Jaroslav Soldán,,2016/2017,8,55,535
3,167690,2,08:24,-, Václav Měchura, Jakub Pražák,2016/2017,8,24,504
4,167690,3,09:30,-, Jakub Pražák, Milan Češek,2016/2017,9,30,570
0,170888,2,04:46,-, Jan Mikolášek, Stanislav Lepič,2016/2017,4,46,286
1,170888,2,11:48,-, Stanislav Lepič, Lukáš Pichner,2016/2017,11,48,708
0,170890,1,03:27,-, Ctibor Chmelař, Martin Elišák,2016/2017,3,27,207
1,170890,1,10:46,PP, Zdeněk Karásek, Filip Weber,2016/2017,10,46,646
2,170890,2,08:31,-, Michal Rosí, Zdeněk Karásek,2016/2017,8,31,511
3,170890,3,06:09,-, Zdeněk Karásek, Radek Mošnička,2016/2017,6,9,369
