,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season,Date,Place,Weekday,ref1,ref2,League
31,266168,FBC Mobydick Praha,Šneci z Pěšin,4,4,Draw,neděle 17.11.2019; Unihoc Aréna Praha,počet diváků: 0,začátek 10:20; konec 11:32,Utkání: 3XM82019/2020-B039; 5. kolo; PH a SČ soutěž mužů,"části: 0:2, 0:1, 4:1, střely na branku: 0:0","rozhodčí: Knap Jan, Kolář Michal",delegát: ,                     Petr Sukalovský,                    David Suchánek,                    David Suchánek,2019/2020,17.11.2019, Unihoc Aréna Praha,neděle, Knap Jan, Kolář Michal, PH a SČ soutěž mužů
32,266163,FBC Mobydick Praha,SK DESPERADOS SNW B,1,4,Lose,neděle 17.11.2019; Unihoc Aréna Praha,počet diváků: 0,začátek 12:43; konec 13:50,Utkání: 3XM82019/2020-B041; 5. kolo; PH a SČ soutěž mužů,"části: 1:0, 2:1, 1:0, střely na branku: 0:0","rozhodčí: Knap Jan, Kolář Michal",delegát: ,                  Aleš Martínek,"Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []",2019/2020,17.11.2019, Unihoc Aréna Praha,neděle, Knap Jan, Kolář Michal, PH a SČ soutěž mužů
33,271018,FBC Mobydick Praha,SK Black Dragons,3,2,Win,sobota 14.12.2019; Sport Eden Beroun,počet diváků: 0,začátek 14:50; konec 15:50,Utkání: 3XM82019/2020-B051; 6. kolo; PH a SČ soutěž mužů,"části: 0:2, 1:0, 1:1, střely na branku: 0:0","rozhodčí: Riegel Lukáš, Těhle Aleš",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []",2019/2020,14.12.2019, Sport Eden Beroun,sobota, Riegel Lukáš, Těhle Aleš, PH a SČ soutěž mužů
34,271013,FBC Mobydick Praha,AIK Steel Kladno B,1,7,Lose,sobota 14.12.2019; Sport Eden Beroun,počet diváků: 0,začátek 17:10; konec 18:10,Utkání: 3XM82019/2020-B053; 6. kolo; PH a SČ soutěž mužů,"části: 0:1, 1:2, 0:4, střely na branku: 0:0","rozhodčí: Riegel Lukáš, Těhle Aleš",delegát: ,                          Jaroslav Drahotínský,                  Jiří Neradil,                  Jiří Neradil,2019/2020,14.12.2019, Sport Eden Beroun,sobota, Riegel Lukáš, Těhle Aleš, PH a SČ soutěž mužů
35,278196,FBC Mobydick Praha,FBC TJ Lokomotiva Zdice,3,2,Win,sobota 08.02.2020; SH Bystřice,počet diváků: 0,začátek 14:50; konec 16:00,Utkání: 3XM82019/2020-B060; 7. kolo; PH a SČ soutěž mužů,"části: 0:1, 1:0, 1:2, střely na branku: 0:0","rozhodčí: Tůma Jan, Kratochvíl Jindřich",delegát: ,                 Tomáš Štumf,"Empty DataFrame
Columns: [Player]
Index: []",                 Tomáš Štumf,2019/2020,08.02.2020, SH Bystřice,sobota, Tůma Jan, Kratochvíl Jindřich, PH a SČ soutěž mužů
36,278193,FBC Mobydick Praha,FBC Falcons Žižkov,3,9,Lose,sobota 08.02.2020; SH Bystřice,počet diváků: 0,začátek 17:10; konec 18:20,Utkání: 3XM82019/2020-B062; 7. kolo; PH a SČ soutěž mužů,"části: 1:3, 1:3, 1:3, střely na branku: 0:0","rozhodčí: Tůma Jan, Kratochvíl Jindřich",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                 Tomáš Kružík,                 Tomáš Kružík,2019/2020,08.02.2020, SH Bystřice,sobota, Tůma Jan, Kratochvíl Jindřich, PH a SČ soutěž mužů
37,284100,FBC Mobydick Praha,AIK Steel Kladno B,2,6,Lose,sobota 12.09.2020; SH Stochov,počet diváků: 0,začátek 14:50; konec 15:57,Utkání: 3XM82020/2021-B007; 1. kolo; PH a SČ soutěž mužů,"části: 0:1, 2:2, 0:3, střely na branku: 0:0","rozhodčí: Verner Jaroslav, Trejbal Patrik",delegát: ,                  Martin Bosák,                Jakub Šíma,                Jakub Šíma,2020/2021,12.09.2020, SH Stochov,sobota, Verner Jaroslav, Trejbal Patrik, PH a SČ soutěž mužů
38,284104,FBC Mobydick Praha,Blue Horses Stochov B,6,4,Win,sobota 12.09.2020; SH Stochov,počet diváků: 4,začátek 17:05; konec 18:03,Utkání: 3XM82020/2021-B009; 1. kolo; PH a SČ soutěž mužů,"části: 2:6, 1:0, 1:0, střely na branku: 0:0","rozhodčí: Verner Jaroslav, Trejbal Patrik",delegát: ,                  Martin Bosák,                   Tomáš Leipner,                  Martin Bosák,2020/2021,12.09.2020, SH Stochov,sobota, Verner Jaroslav, Trejbal Patrik, PH a SČ soutěž mužů
39,286056,FBC Mobydick Praha,Fbk Buldoci Radotín B,5,2,Win,sobota 26.09.2020; SH BIOS Kladno,počet diváků: 0,začátek 09:00; konec 10:12,Utkání: 3XM82020/2021-B011; 2. kolo; PH a SČ soutěž mužů,"části: 0:1, 1:2, 1:2, střely na branku: 0:0","rozhodčí: Zeman Michael, Paleček Jan",delegát: ,                     Petr Sukalovský,                Jakub Šulc,                     Petr Sukalovský,2020/2021,26.09.2020, SH BIOS Kladno,sobota, Zeman Michael, Paleček Jan, PH a SČ soutěž mužů
40,286054,FBC Mobydick Praha,FBC DYNAMIS B,2,5,Lose,sobota 26.09.2020; SH BIOS Kladno,počet diváků: 0,začátek 12:30; konec 13:50,Utkání: 3XM82020/2021-B014; 2. kolo; PH a SČ soutěž mužů,"části: 1:0, 0:3, 1:2, střely na branku: 0:0","rozhodčí: Zeman Michael, Paleček Jan",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                 David Wurst,                 David Wurst,2020/2021,26.09.2020, SH BIOS Kladno,sobota, Zeman Michael, Paleček Jan, PH a SČ soutěž mužů
