,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
5,290622,3,10:38,-, Petr Zahradník,,2021/2022,10,38,638
0,291306,1,02:39,-, Libor Hrach, Andrej Lipan,2021/2022,2,39,159
1,291306,2,08:09,-, Petr Sukalovský, Rudolf Rubáš,2021/2022,8,9,489
2,291306,2,11:27,-, Tomáš Štumf, Jakub Vilim,2021/2022,11,27,687
3,291306,3,02:36,-, Rudolf Rubáš, Šimon Smrček,2021/2022,2,36,156
0,294684,1,05:21,PP, Marek Pukl, Jan Novák,2021/2022,5,21,321
1,294684,1,06:36,PP, Petr Sukalovský, Jan Novák,2021/2022,6,36,396
2,294684,2,08:07,-, Libor Hrach, Andrej Lipan,2021/2022,8,7,487
3,294684,3,08:09,-, Marek Pukl, Tomáš Štumf,2021/2022,8,9,489
0,294688,1,01:12,-, Libor Hrach,,2021/2022,1,12,72
1,294688,1,02:32,-, Tomáš Štumf, Marek Pukl,2021/2022,2,32,152
2,294688,1,03:01,-, Petr Zahradník, Martin Bosák,2021/2022,3,1,181
3,294688,1,06:51,-, Libor Hrach, Jakub Vilim,2021/2022,6,51,411
4,294688,1,08:58,PP, Martin Bosák, Petr Zahradník,2021/2022,8,58,538
5,294688,2,08:29,-, Petr Sukalovský, Martin Bosák,2021/2022,8,29,509
6,294688,2,09:22,-, Martin Bosák, Jan Novák,2021/2022,9,22,562
7,294688,3,02:32,-, Petr Sukalovský, Martin Bosák,2021/2022,2,32,152
8,294688,3,07:41,-, Rudolf Rubáš, Tomáš Štumf,2021/2022,7,41,461
9,294688,3,09:54,-, Andrej Lipan,,2021/2022,9,54,594
10,294688,3,11:38,-, Martin Bosák, Petr Sukalovský,2021/2022,11,38,698
0,295536,1,03:31,-, Petr Sukalovský, Aleš Martínek,2021/2022,3,31,211
1,295536,1,05:08,-, Marek Pukl, Šimon Smrček,2021/2022,5,8,308
2,295536,2,11:16,-, Jakub Vilim,,2021/2022,11,16,676
0,293079,2,06:05,-, Martin Bosák, Petr Sukalovský,2021/2022,6,5,365
1,293079,2,11:45,PP, Josef Kostelecký, Petr Zahradník,2021/2022,11,45,705
2,293079,2,11:48,-, Petr Sukalovský, Martin Bosák,2021/2022,11,48,708
0,301969,2,09:23,-, Tomáš Virba, Marek Pukl,2021/2022,9,23,563
1,301969,3,00:36,-, Martin Bosák, Petr Zahradník,2021/2022,0,36,36
2,301969,3,05:24,-, Martin Bosák, Jakub Vilim,2021/2022,5,24,324
3,301969,3,06:35,-, Petr Sukalovský, Petr Zahradník,2021/2022,6,35,395
0,301973,1,07:47,-, Viliam Virba,,2021/2022,7,47,467
1,301973,3,08:36,-, Martin Bosák, Josef Kostelecký,2021/2022,8,36,516
0,305967,1,04:40,-, Marek Pukl, Tomáš Virba,2021/2022,4,40,280
1,305967,3,08:30,-, Petr Sukalovský, Martin Bosák,2021/2022,8,30,510
2,305967,3,11:24,-, Petr Sukalovský, Martin Bosák,2021/2022,11,24,684
0,305979,2,06:23,SH, Petr Sukalovský, Martin Bosák,2021/2022,6,23,383
1,305979,3,05:57,-, Marek Pukl, Tomáš Štumf,2021/2022,5,57,357
2,305979,-,-,PS, Martin Bosák,,2021/2022,0,0,0
0,308725,2,05:40,-, Tomáš Štumf,,2021/2022,5,40,340
1,308725,3,11:27,-, Petr Sukalovský,,2021/2022,11,27,687
0,308734,1,07:57,-, Josef Kostelecký, Jan Jiráň,2021/2022,7,57,477
1,308734,2,03:04,-, Aleš Martínek, Andrej Lipan,2021/2022,3,4,184
2,308734,3,02:05,-, Petr Sukalovský, Martin Bosák,2021/2022,2,5,125
3,308734,3,02:46,-, Aleš Martínek,,2021/2022,2,46,166
4,308734,3,05:55,-, Petr Zahradník, Petr Zahradník,2021/2022,5,55,355
5,308734,3,06:59,-, Petr Sukalovský, Martin Bosák,2021/2022,6,59,419
6,308734,3,09:01,-, Libor Hrach, Andrej Lipan,2021/2022,9,1,541
7,308734,3,10:00,-, Martin Bosák, Petr Sukalovský,2021/2022,10,0,600
8,308734,3,11:36,PS, Petr Sukalovský,,2021/2022,11,36,696
0,311143,1,01:37,-, Marek Pukl, Tomáš Štumf,2021/2022,1,37,97
1,311143,2,02:20,-, Andrej Lipan, Josef Kostelecký,2021/2022,2,20,140
2,311143,2,06:43,PP, Jan Jiráň, Josef Kostelecký,2021/2022,6,43,403
3,311143,2,11:53,-, Josef Kostelecký,,2021/2022,11,53,713
4,311143,3,01:20,-, Rudolf Rubáš, Marek Pukl,2021/2022,1,20,80
5,311143,3,05:07,-, Aleš Martínek,,2021/2022,5,7,307
6,311143,3,08:57,SH, Petr Sukalovský, Martin Bosák,2021/2022,8,57,537
0,311148,1,04:10,-, Šimon Smrček,,2021/2022,4,10,250
1,311148,1,08:05,-, Petr Zahradník, Martin Bosák,2021/2022,8,5,485
2,311148,2,03:11,-, Petr Sukalovský, Martin Bosák,2021/2022,3,11,191
3,311148,2,06:51,-, Rudolf Rubáš, Marek Pukl,2021/2022,6,51,411
4,311148,2,09:42,SH, Martin Bosák, Josef Kostelecký,2021/2022,9,42,582
5,311148,3,00:32,PP, Aleš Martínek, Josef Kostelecký,2021/2022,0,32,32
6,311148,3,06:46,-, Petr Sukalovský, Jan Jiráň,2021/2022,6,46,406
7,311148,3,11:55,-, Petr Sukalovský, Šimon Smrček,2021/2022,11,55,715
0,314037,1,10:17,SH, Martin Bosák,,2021/2022,10,17,617
1,314037,2,02:01,-, Martin Bosák,,2021/2022,2,1,121
2,314037,3,07:41,-, Tomáš Štumf, Jan Jiráň,2021/2022,7,41,461
3,314037,3,09:36,-, Petr Sukalovský, Petr Zahradník,2021/2022,9,36,576
0,320254,2,09:00,-, Martin Bosák, Josef Kostelecký,2021/2022,9,0,540
1,320254,3,00:51,-, Petr Sukalovský,,2021/2022,0,51,51
2,320254,3,02:27,-, Martin Bosák, Libor Hrach,2021/2022,2,27,147
3,320254,3,06:06,-, Petr Sukalovský, Martin Bosák,2021/2022,6,6,366
0,320253,1,02:25,-, Marek Pukl, Josef Kostelecký,2021/2022,2,25,145
1,320253,1,05:56,-, Viliam Virba, Aleš Martínek,2021/2022,5,56,356
2,320253,1,09:05,-, Martin Bosák, Marek Pukl,2021/2022,9,5,545
3,320253,3,08:04,-, Petr Zahradník, Marek Pukl,2021/2022,8,4,484
4,320253,3,10:25,PP, Petr Sukalovský, Josef Kostelecký,2021/2022,10,25,625
5,320253,3,10:45,-, Petr Sukalovský, Marek Pukl,2021/2022,10,45,645
0,322546,1,05:30,-, Petr Sukalovský, Martin Bosák,2021/2022,5,30,330
1,322546,2,11:06,-, Marek Pukl,,2021/2022,11,6,666
2,322546,3,08:48,-, Petr Sukalovský, Josef Kostelecký,2021/2022,8,48,528
0,322544,1,02:22,-, Petr Sukalovský, Viliam Virba,2021/2022,2,22,142
