,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
2,278193,1,05:55,-, Libor Vilímec, Tomáš Kružík,2019/2020,5,55,355
3,278193,2,00:53,-, Tomáš Kružík, Petr Káda,2019/2020,0,53,53
4,278193,2,01:37,-, Michal Myšík, Petr Dvořák,2019/2020,1,37,97
5,278193,2,02:27,-, Zdeněk Burian, Michal Myšík,2019/2020,2,27,147
6,278193,3,01:10,-, Petr Káda, Petr Dvořák,2019/2020,1,10,70
7,278193,3,03:54,-, Libor Vilímec, Tomáš Kružík,2019/2020,3,54,234
8,278193,3,10:15,-, Libor Vilímec, Tomáš Kružík,2019/2020,10,15,615
0,284100,1,00:33,-, David Schneider, Jakub Šíma,2020/2021,0,33,33
1,284100,2,01:29,-, Jaroslav Chalupný, David Bursík,2020/2021,1,29,89
2,284100,2,11:49,PP, Jakub Šíma, David Schneider,2020/2021,11,49,709
3,284100,3,04:28,PP, Jakub Šíma, Michal Kárník,2020/2021,4,28,268
4,284100,3,06:56,PP, David Schneider, Jakub Šíma,2020/2021,6,56,416
5,284100,3,08:05,-, Jakub Šíma, Jaroslav Chalupný,2020/2021,8,5,485
0,284104,1,03:00,-, Tomáš Leipner, Jan Mikolášek,2020/2021,3,0,180
1,284104,1,06:09,-, Tomáš Leipner,,2020/2021,6,9,369
2,284104,2,06:20,-, Lukáš Müller, Václav Müller,2020/2021,6,20,380
3,284104,3,10:16,PP, Tomáš Leipner, Lukáš Müller,2020/2021,10,16,616
0,286056,2,02:45,-, Jakub Šulc, Patrik Toulec,2020/2021,2,45,165
1,286056,3,07:30,-, Jakub Šulc, Daniel Kvěch,2020/2021,7,30,450
0,286054,2,02:11,-, Jakub Lacina,,2020/2021,2,11,131
1,286054,2,06:18,-, David Wurst, Libor Rys,2020/2021,6,18,378
2,286054,2,06:57,-, Tomáš Pospíchal, Libor Rys,2020/2021,6,57,417
3,286054,3,04:15,-, David Wurst,,2020/2021,4,15,255
4,286054,3,11:28,EN, Tomáš Pospíchal, David Wurst,2020/2021,11,28,688
0,290622,3,04:38,-, Martin Kaprálek, Tomáš Paskal,2021/2022,4,38,278
0,291306,3,04:09,-, Petr Brychta, Petr Šavrda,2021/2022,4,9,249
1,291306,3,11:26,-, Josef Kurka, Petr Brychta,2021/2022,11,26,686
0,294688,1,03:35,PP, Jan Pernikář, Josef Kurka,2021/2022,3,35,215
1,294688,2,08:24,-, Vladimír Oliva,,2021/2022,8,24,504
2,294688,3,00:53,-, Martin Šůs, Jan Pernikář,2021/2022,0,53,53
3,294688,3,11:10,-, Josef Kurka, Vladimír Oliva,2021/2022,11,10,670
0,295536,2,03:31,SH, Martin Hošek, Lukáš Martínek,2021/2022,3,31,211
1,295536,3,01:52,-, Jakub Špalek, Ondřej Turek,2021/2022,1,52,112
0,293079,1,05:59,-, Petr Kratochvíl, Jan Čech,2021/2022,5,59,359
1,293079,1,09:33,-, Luboš Vodrážka, Luboš Drbal,2021/2022,9,33,573
0,301973,2,09:59,PS, František Pok,,2021/2022,9,59,599
1,301973,3,02:02,-, František Pok, Martin Vacenovský,2021/2022,2,2,122
2,301973,-,-,PS, David Václavík,,2021/2022,0,0,0
0,305967,1,06:25,-, Ondřej Stach, Jan Brejcha,2021/2022,6,25,385
1,305967,3,04:32,-, Martin Kaprálek, Ondřej Zika,2021/2022,4,32,272
2,305967,3,10:18,-, Martin Kaprálek, Ondřej Zika,2021/2022,10,18,618
3,305967,3,11:12,PP, Jakub Vaculčiak, Jan Brejcha,2021/2022,11,12,672
0,305979,1,06:23,-, Radek Šobíšek, Michal Pešata,2021/2022,6,23,383
1,305979,2,04:09,-, Jan Kárník, Martin Novotný,2021/2022,4,9,249
0,308725,1,07:37,-, Luděk Šantora, Martin Hošek,2021/2022,7,37,457
1,308725,2,05:56,-, Ondřej Turek, Jakub Špalek,2021/2022,5,56,356
2,308725,3,03:56,-, Martin Hošek, Luděk Šantora,2021/2022,3,56,236
0,308734,1,06:05,-, Jan Čech, František Jantač,2021/2022,6,5,365
1,308734,1,08:54,PP, Petr Kratochvíl, Michal Kratochvíl,2021/2022,8,54,534
0,311143,1,04:02,-, Jan Rotta, Jan Egem,2021/2022,4,2,242
1,311143,1,05:53,-, Jan Rotta, Jan Egem,2021/2022,5,53,353
2,311143,2,00:27,-, Jakub Rokos, Tomáš Hájek,2021/2022,0,27,27
3,311143,3,00:52,-, Ondřej Rosický, Jakub Rokos,2021/2022,0,52,52
4,311143,3,11:31,-, Jakub Rokos, Ondřej Rosický,2021/2022,11,31,691
0,311148,2,07:17,-, Jan Kárník, Michal Pešata,2021/2022,7,17,437
