,Id,Player,G,A,PTS,Season,Team_against,Team_for,Hattrick,Date,League
180,242540, Petr Zahradník ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
181,244641, Aleš Martínek ,1,0,1,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,02.03.2019, PHaSČ třída mužů
182,244641, Lucie Kisugite ,0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,02.03.2019, PHaSČ třída mužů
183,244641, Šimon Smrček ,0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,02.03.2019, PHaSČ třída mužů
184,244641, Jan Jiráň ,0,1,1,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,02.03.2019, PHaSČ třída mužů
185,244641, Martin Fojtík ,4,1,5,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,1,02.03.2019, PHaSČ třída mužů
186,244641, Jaroslav Drahotínský ,0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,02.03.2019, PHaSČ třída mužů
187,244641, Martin Bosák ,1,2,3,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,02.03.2019, PHaSČ třída mužů
188,244641, Jakub Kalfiřt ,0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,02.03.2019, PHaSČ třída mužů
189,244641, Jakub Horyna ,2,2,4,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,02.03.2019, PHaSČ třída mužů
190,244641, Jakub Vilim ,1,2,3,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,02.03.2019, PHaSČ třída mužů
