,Id,Player,G,A,PTS,Season,Team_against,Team_for,Hattrick,Date,League
86,456, Pavel Maršík ,2,0,2,2008/2009,Game Over Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
87,456, Jakub Mádr ,0,1,1,2008/2009,Game Over Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
88,456, Ladislav Tyll ,0,1,1,2008/2009,Game Over Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
89,456, Filip Weber ,0,0,0,2008/2009,Game Over Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
90,456, Petr Škaloud ,1,1,2,2008/2009,Game Over Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
91,456, Václav Rides ,0,0,0,2008/2009,Game Over Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
92,456, Adam Bardún ,0,0,0,2008/2009,Game Over Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
93,8515, Pavel Maršík ,0,0,0,2008/2009,FKMP Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
94,8515, Jakub Mádr ,0,1,1,2008/2009,FKMP Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
95,8515, Ladislav Tyll ,1,0,1,2008/2009,FKMP Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
96,8515, Filip Weber ,0,0,0,2008/2009,FKMP Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
97,8515, Petr Škaloud ,0,0,0,2008/2009,FKMP Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
98,8515, Václav Rides ,0,0,0,2008/2009,FKMP Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
99,8515, Adam Bardún ,0,0,0,2008/2009,FKMP Praha,FBC Ressler boys,0,07.02.2009, PH+SČ soutěž mužů
100,9641, Zdeněk Máčel ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
101,9641, Jakub Mádr ,0,1,1,2008/2009,FbC Engineers,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
102,9641, Ladislav Tyll ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
103,9641, Milan Balzer ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
104,9641, Filip Weber ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
105,9641, Roman Žampach ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
106,9641, Petr Škaloud ,1,0,1,2008/2009,FbC Engineers,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
107,9641, Václav Rides ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
108,9641, Adam Bardún ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
109,9641, Jakub Nováček ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
110,9636, Zdeněk Máčel ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
111,9636, Jakub Mádr ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
112,9636, Ladislav Tyll ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
113,9636, Milan Balzer ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
114,9636, Filip Weber ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
115,9636, Roman Žampach ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
116,9636, Petr Škaloud ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
117,9636, Václav Rides ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
118,9636, Adam Bardún ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
119,9636, Jakub Nováček ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,28.02.2009, PH+SČ soutěž mužů
120,10203, Pavel Maršík ,0,0,0,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
121,10203, Jakub Mádr ,0,2,2,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
122,10203, Ladislav Tyll ,1,0,1,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
123,10203, Jakub Nováček ,0,0,0,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
124,10203, Filip Weber ,1,0,1,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
125,10203, Roman Žampach ,1,0,1,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
126,10203, Petr Škaloud ,0,0,0,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
127,10203, Adam Bardún ,1,1,2,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
128,10206, Pavel Maršík ,1,0,1,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
129,10206, Jakub Mádr ,0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
130,10206, Ladislav Tyll ,0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
131,10206, Jakub Nováček ,0,2,2,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
132,10206, Filip Weber ,0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
133,10206, Roman Žampach ,0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
134,10206, Petr Škaloud ,0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
135,10206, Václav Rides ,3,0,3,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,1,21.03.2009, PH+SČ soutěž mužů
136,10206, Adam Bardún ,0,2,2,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,21.03.2009, PH+SČ soutěž mužů
137,12532, Zdeněk Máčel ,1,0,1,2008/2009,FC Bílé Hole,FBC Ressler boys,0,19.04.2009, PH+SČ soutěž mužů
138,12532, Pavel Maršík ,1,3,4,2008/2009,FC Bílé Hole,FBC Ressler boys,0,19.04.2009, PH+SČ soutěž mužů
139,12532, Jakub Mádr ,1,0,1,2008/2009,FC Bílé Hole,FBC Ressler boys,0,19.04.2009, PH+SČ soutěž mužů
140,12532, Ladislav Tyll ,1,1,2,2008/2009,FC Bílé Hole,FBC Ressler boys,0,19.04.2009, PH+SČ soutěž mužů
141,12532, Milan Balzer ,0,1,1,2008/2009,FC Bílé Hole,FBC Ressler boys,0,19.04.2009, PH+SČ soutěž mužů
142,12532, Filip Weber ,0,0,0,2008/2009,FC Bílé Hole,FBC Ressler boys,0,19.04.2009, PH+SČ soutěž mužů
143,12532, Roman Žampach ,3,0,3,2008/2009,FC Bílé Hole,FBC Ressler boys,1,19.04.2009, PH+SČ soutěž mužů
144,12532, Václav Rides ,1,1,2,2008/2009,FC Bílé Hole,FBC Ressler boys,0,19.04.2009, PH+SČ soutěž mužů
145,12900, Zdeněk Máčel ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
146,12900, Pavel Maršík ,1,1,2,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
147,12900, Jakub Mádr ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
148,12900, Ladislav Tyll ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
149,12900, Milan Balzer ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
150,12900, Jakub Nováček ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
151,12900, Filip Weber ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
152,12900, Roman Žampach ,1,1,2,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
153,12900, Petr Škaloud ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
154,12900, Václav Rides ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
155,12904, Zdeněk Máčel ,1,1,2,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
156,12904, Pavel Maršík ,1,1,2,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
157,12904, Jakub Mádr ,2,1,3,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
158,12904, Ladislav Tyll ,1,1,2,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
159,12904, Milan Balzer ,1,0,1,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
160,12904, Jakub Nováček ,0,2,2,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
161,12904, Petr Škaloud ,0,1,1,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
162,12904, Václav Rides ,2,0,2,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,03.05.2009, PH+SČ soutěž mužů
163,14226, Pavel Maršík ,0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
164,14226, Jakub Mádr ,0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
165,14226, Ladislav Tyll ,1,0,1,2009/2010,FBC Start98 B,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
166,14226, Filip Weber ,0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
167,14226, Petr Škaloud ,0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
168,14226, Václav Rides ,0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
169,14226, Adam Bardún ,0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
170,14226, Štěpán Trousil ,0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
171,14226, Jakub Nováček ,0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
