,Id,Player,G,A,PTS,Season,Team_against,Team_for
2,239917,6 Šimon Smrček (O),0,0,0,2018/2019,FBC Blue Horses B,FBC Mobydick Praha
3,239917,15 Jan Jiráň (O),1,0,1,2018/2019,FBC Blue Horses B,FBC Mobydick Praha
4,239917,17 Martin Fojtík (U),3,1,4,2018/2019,FBC Blue Horses B,FBC Mobydick Praha
5,239917,23 Martin Bosák (U),1,1,2,2018/2019,FBC Blue Horses B,FBC Mobydick Praha
6,239917,28 Libor Hrach (U),1,0,1,2018/2019,FBC Blue Horses B,FBC Mobydick Praha
7,239917,42 Jan Novák (O),0,0,0,2018/2019,FBC Blue Horses B,FBC Mobydick Praha
8,239917,81 Jakub Horyna (U),1,4,5,2018/2019,FBC Blue Horses B,FBC Mobydick Praha
9,239917,99 Petr Zahradník (U),1,0,1,2018/2019,FBC Blue Horses B,FBC Mobydick Praha
0,239912,3 Aleš Martínek (O),0,1,1,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
1,239912,5 Lucie Kisugite (U),0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
2,239912,6 Šimon Smrček (O),0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
3,239912,15 Jan Jiráň (O),0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
4,239912,17 Martin Fojtík (U),2,2,4,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
5,239912,23 Martin Bosák (U),0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
6,239912,28 Libor Hrach (U),2,0,2,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
7,239912,42 Jan Novák (O),0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
8,239912,81 Jakub Horyna (U),1,2,3,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
9,239912,99 Petr Zahradník (U),0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
0,242544,3 Aleš Martínek (O),1,1,2,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
1,242544,5 Lucie Kisugite (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
2,242544,6 Šimon Smrček (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
3,242544,15 Jan Jiráň (O),1,0,1,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
4,242544,22 Jaroslav Drahotínský (O),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
5,242544,23 Martin Bosák (U),1,0,1,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
6,242544,28 Libor Hrach (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
7,242544,42 Jan Novák (O),0,1,1,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
8,242544,92 Jakub Vilim (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
9,242544,99 Petr Zahradník (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
0,242540,3 Aleš Martínek (O),1,0,1,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha
