,Id,Period,Time,Player,TM,Foul,Season
0,69398,1. část,05:29,77 Ctibor Chmelař,2,902 blokování hokejky,2012/2013
1,69398,3. část,00:00,3 Martin Elišák,2,915 nedovolená vzdálenost,2012/2013
0,69401,3. část,06:49,21 Štěpán Trousil,2,909 hrubost,2012/2013
1,69401,3. část,09:21,86 Zdeněk Karásek,2,920 hra rukou,2012/2013
0,72096,1. část,03:41,21 Štěpán Trousil,2,925 nesportovní chování,2012/2013
1,72096,2. část,11:46,86 Zdeněk Karásek,2,901 sekání,2012/2013
2,72096,3. část,05:46,48 Roman Žampach,2,902 blokování hokejky,2012/2013
3,72096,3. část,11:44,13 Jakub Majerčin,2,923 opakované přestupky,2012/2013
0,73820,1. část,04:36,3 Martin Elišák,2,923 opakované přestupky,2012/2013
1,73820,3. část,08:54,13 Jakub Majerčin,2,923 opakované přestupky,2012/2013
0,73818,3. část,03:31,48 Roman Žampach,2,925 nesportovní chování,2012/2013
1,73818,3. část,03:31,48 Roman Žampach,2,907 nedovolené vrážení,2012/2013
0,76508,1. část,03:33,21 Štěpán Trousil,2,901 sekání,2012/2013
0,76505,2. část,06:38,21 Štěpán Trousil,5,904 vysoká hokejka,2012/2013
1,76505,2. část,10:22,5 Ladislav Tyll,2,902 blokování hokejky,2012/2013
0,77841,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2012/2013
0,77839,2. část,10:10,3 Martin Elišák,2,923 opakované přestupky,2012/2013
0,79499,2. část,09:51,13 Jakub Majerčin,2,901 sekání,2012/2013
1,79499,3. část,07:11,21 Štěpán Trousil,2,923 opakované přestupky,2012/2013
2,79499,3. část,09:42,7 Miloš Zapadlo,2,904 vysoká hokejka,2012/2013
0,79497,1. část,08:30,21 Štěpán Trousil,2,919 hra na zemi,2012/2013
1,79497,3. část,06:36,13 Jakub Majerčin,2,925 nesportovní chování,2012/2013
2,79497,3. část,08:21,22 Jakub Nováček,2,925 nesportovní chování,2012/2013
3,79497,3. část,08:21,22 Jakub Nováček,10,925 nesportovní chování,2012/2013
0,80013,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2012/2013
0,83399,3. část,04:25,22 Jakub Nováček,2,901 sekání,2013/2014
0,83412,1. část,11:38,77 Ctibor Chmelař,2,901 sekání,2013/2014
0,84452,3. část,08:40,8 Filip Weber,2,923 opakované přestupky,2013/2014
0,84460,1. část,06:19,78 Zdeněk Máčel,2,915 nedovolená vzdálenost,2013/2014
1,84460,2. část,07:23,5 Ladislav Tyll,2,902 blokování hokejky,2013/2014
2,84460,3. část,09:56,77 Ctibor Chmelař,2,901 sekání,2013/2014
3,84460,3. část,11:18,5 Ladislav Tyll,2,901 sekání,2013/2014
0,87600,2. část,05:12,48 Roman Žampach,2,901 sekání,2013/2014
1,87600,3. část,05:17,4 Jakub Mádr,5,902 blokování hokejky,2013/2014
2,87600,3. část,11:48,7 Miloš Zapadlo,2,925 nesportovní chování,2013/2014
0,87604,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2013/2014
0,88227,1. část,10:44,77 Ctibor Chmelař,2,901 sekání,2013/2014
1,88227,3. část,00:19,3 Martin Elišák,2,901 sekání,2013/2014
2,88227,3. část,08:39,5 Ladislav Tyll,2,901 sekání,2013/2014
0,88234,1. část,10:01,7 Miloš Zapadlo,2,901 sekání,2013/2014
1,88234,2. část,09:24,5 Ladislav Tyll,2,901 sekání,2013/2014
2,88234,3. část,00:35,4 Jakub Mádr,2,919 hra na zemi,2013/2014
3,88234,3. část,10:23,86 Zdeněk Karásek,2,911 bránění ve hře,2013/2014
0,91900,3. část,02:54,13 Michal Slavík,2,923 opakované přestupky,2013/2014
0,91905,1. část,02:29,6 Michal Rosí,2,923 opakované přestupky,2013/2014
1,91905,1. část,10:47,3 Martin Elišák,2,902 blokování hokejky,2013/2014
0,95454,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2013/2014
0,95459,2. část,09:14,22 Jakub Nováček,2,904 vysoká hokejka,2013/2014
1,95459,2. část,10:30,5 Ladislav Tyll,2,902 blokování hokejky,2013/2014
0,95507,1. část,08:02,3 Martin Elišák,2,922 špatné střídání,2013/2014
0,95526,1. část,09:00,6 Michal Rosí,2,901 sekání,2013/2014
1,95526,2. část,11:34,86 Zdeněk Karásek,2,923 opakované přestupky,2013/2014
2,95526,3. část,07:18,86 Zdeněk Karásek,2,915 nedovolená vzdálenost,2013/2014
0,98491,3. část,04:24,21 Štěpán Trousil,2,911 bránění ve hře,2013/2014
1,98491,3. část,08:59,86 Zdeněk Karásek,2,915 nedovolená vzdálenost,2013/2014
0,98495,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2013/2014
0,101360,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2013/2014
0,101363,3. část,06:55,77 Ctibor Chmelař,2,901 sekání,2013/2014
1,101363,3. část,09:07,15 Michal Rosí,2,925 nesportovní chování,2013/2014
2,101363,3. část,11:12,17 Karel Pernica,2,908 vražení zády,2013/2014
0,102043,1. část,03:55,77 Ctibor Chmelař,2,901 sekání,2013/2014
1,102043,1. část,09:10,48 Roman Žampach,2,901 sekání,2013/2014
2,102043,3. část,08:15,77 Ctibor Chmelař,2,908 vražení zády,2013/2014
0,102037,1. část,03:34,17 Karel Pernica,2,901 sekání,2013/2014
1,102037,2. část,04:27,21 Štěpán Trousil,2,901 sekání,2013/2014
2,102037,2. část,11:24,77 Ctibor Chmelař,2,901 sekání,2013/2014
3,102037,3. část,08:57,48 Roman Žampach,2,925 nesportovní chování,2013/2014
0,106305,2. část,09:09,86 Zdeněk Karásek,2,909 hrubost,2014/2015
1,106305,3. část,06:13,86 Zdeněk Karásek,2,901 sekání,2014/2015
0,106307,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2014/2015
0,107925,1. část,03:31,86 Zdeněk Karásek,2,911 bránění ve hře,2014/2015
1,107925,3. část,11:43,8 Filip Weber,2,901 sekání,2014/2015
0,107938,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2014/2015
0,109356,3. část,09:39,86 Zdeněk Karásek,2,901 sekání,2014/2015
0,109353,3. část,10:47,86 Zdeněk Karásek,2,901 sekání,2014/2015
0,111025,2. část,02:54,5 Ladislav Tyll,2,922 špatné střídání,2014/2015
0,111027,1. část,05:29,5 Ladislav Tyll,2,901 sekání,2014/2015
1,111027,3. část,03:12,8 Filip Weber,2,901 sekání,2014/2015
2,111027,3. část,11:38,86 Zdeněk Karásek,2,909 hrubost,2014/2015
3,111027,3. část,11:56,48 Roman Žampach,2,909 hrubost,2014/2015
0,113887,3. část,01:39,86 Zdeněk Karásek,2,908 vražení zády,2014/2015
0,113892,2. část,04:29,77 Ctibor Chmelař,2,904 vysoká hokejka,2014/2015
1,113892,3. část,10:49,7 Miloš Zapadlo,5,907 nedovolené vrážení,2014/2015
2,113892,3. část,11:44,48 Roman Žampach,2,925 nesportovní chování,2014/2015
3,113892,3. část,11:44,48 Roman Žampach,10,925 nesportovní chování,2014/2015
0,115955,2. část,06:34,86 Zdeněk Karásek,2,909 hrubost,2014/2015
1,115955,3. část,11:52,86 Zdeněk Karásek,2,908 vražení zády,2014/2015
0,116088,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2014/2015
0,119728,1. část,00:29,22 Jakub Nováček,2,922 špatné střídání,2014/2015
1,119728,2. část,08:18,7 Miloš Zapadlo,5,909 hrubost,2014/2015
2,119728,2. část,08:18,6 Michal Rosí,2,911 bránění ve hře,2014/2015
3,119728,2. část,08:18,7 Miloš Zapadlo,,612 vyloučení do konce utkání,2014/2015
4,119728,2. část,11:58,6 Michal Rosí,2,902 blokování hokejky,2014/2015
0,119733,2. část,04:32,86 Zdeněk Karásek,2,907 nedovolené vrážení,2014/2015
1,119733,3. část,00:27,5 Ladislav Tyll,2,902 blokování hokejky,2014/2015
0,120429,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2014/2015
0,120431,3. část,10:05,49 Filip Trousil,2,911 bránění ve hře,2014/2015
0,125857,2. část,02:53,21 Štěpán Trousil,2,907 nedovolené vrážení,2014/2015
1,125857,3. část,05:50,6 Michal Rosí,2,909 hrubost,2014/2015
0,125859,1. část,11:24,7 Miloš Zapadlo,2,911 bránění ve hře,2014/2015
1,125859,2. část,00:55,4 Jakub Mádr,2,907 nedovolené vrážení,2014/2015
0,127351,1. část,10:48,77 Ctibor Chmelař,2,901 sekání,2014/2015
1,127351,3. část,05:14,21 Štěpán Trousil,2,921 hra hlavou,2014/2015
0,127354,2. část,02:06,6 Michal Rosí,2,915 nedovolená vzdálenost,2014/2015
1,127354,3. část,11:27,77 Ctibor Chmelař,2,926 hra bez hokejky,2014/2015
0,130050,1. část,05:57,86 Zdeněk Karásek,2,901 sekání,2015/2016
0,130052,2. část,10:22,22 Jakub Nováček,2,901 sekání,2015/2016
0,132892,2. část,04:29,11 Martin Elišák,2,901 sekání,2015/2016
1,132892,3. část,08:20,11 Martin Elišák,2,911 bránění ve hře,2015/2016
0,132901,1. část,11:41,86 Zdeněk Karásek,2,904 vysoká hokejka,2015/2016
1,132901,2. část,09:49,14 Roman Žampach,2,919 hra na zemi,2015/2016
0,134348,1. část,04:32,69 Tomáš Knor,2,901 sekání,2015/2016
0,134351,1. část,00:13,13 Marek Václavík,2,902 blokování hokejky,2015/2016
1,134351,2. část,02:17,87 Jakub Edr,2,902 blokování hokejky,2015/2016
2,134351,2. část,09:45,69 Tomáš Knor,2,901 sekání,2015/2016
3,134351,3. část,07:25,88 Michal Rosí,2,909 hrubost,2015/2016
0,137002,3. část,00:02,8 Filip Weber,2,901 sekání,2015/2016
0,137005,2. část,11:22,21 Štěpán Trousil,2,907 nedovolené vrážení,2015/2016
1,137005,3. část,03:53,88 Michal Rosí,2,922 špatné střídání,2015/2016
2,137005,3. část,07:05,87 Jakub Edr,2,909 hrubost,2015/2016
