,Id,Period,Time,Type,Goal,Assist,Season
2,24752,3. část,09:16,-,13 Petr Borovec,17 Jakub Žolčák,2009/2010
0,24754,1. část,01:34,-,6 Patrik Čeliš,12 Tomáš Grigar,2009/2010
1,24754,2. část,07:33,-,12 Tomáš Grigar,,2009/2010
2,24754,3. část,00:51,-,69 Michal Černý,12 Tomáš Grigar,2009/2010
3,24754,3. část,03:08,PP,7 Jan Vážný,12 Tomáš Grigar,2009/2010
4,24754,3. část,05:58,-,12 Tomáš Grigar,,2009/2010
5,24754,3. část,09:19,-,6 Patrik Čeliš,16 Adam Podrázský,2009/2010
6,24754,3. část,10:10,-,18 Robert Sysala,,2009/2010
7,24754,3. část,11:37,-,77 Lukáš Fulín,12 Tomáš Grigar,2009/2010
0,25954,3. část,02:58,-,50 Lukáš Fietzek,12 Vojtěch Novák,2009/2010
0,25950,1. část,00:54,-,16 Filip Bělský,22 Jakub Pavel,2009/2010
1,25950,1. část,01:08,-,22 Jakub Pavel,16 Filip Bělský,2009/2010
2,25950,2. část,11:39,-,16 Filip Bělský,,2009/2010
3,25950,3. část,08:42,-,83 Pavel Kuchynka,16 Filip Bělský,2009/2010
0,27336,1. část,00:20,-,13 Tomáš Růta,16 Petr Janský,2009/2010
1,27336,1. část,02:03,OG,77 Ctibor Chmelař,,2009/2010
2,27336,1. část,05:01,-,13 Tomáš Růta,9 Lukáš Franz,2009/2010
3,27336,1. část,10:19,-,27 Jan Kořínek,88 Martin Staněk,2009/2010
4,27336,2. část,03:47,-,27 Jan Kořínek,21 Michal Koníček,2009/2010
5,27336,2. část,05:18,-,9 Lukáš Franz,,2009/2010
6,27336,2. část,06:48,-,16 Petr Janský,24 Jan Vitík,2009/2010
7,27336,2. část,07:56,-,41 Lukáš Pokorný,12 Michal Tuma,2009/2010
8,27336,3. část,11:34,PP,13 Tomáš Růta,10 Matouš Novosad,2009/2010
0,29252,1. část,06:30,-,42 Štěpán Pavelka,28 Libor Vilímec,2010/2011
1,29252,2. část,09:24,-,42 Štěpán Pavelka,6 Václav Skopový,2010/2011
2,29252,3. část,11:55,-,28 Libor Vilímec,6 Václav Skopový,2010/2011
0,29250,3. část,11:38,-,87 Jan Bašta,,2010/2011
1,29250,3. část,11:47,-,87 Jan Bašta,,2010/2011
0,30521,1. část,00:39,-,12 Ivan Preisler,2 Miroslav Špaček,2010/2011
