,Id,Player,G,A,PTS,Season,Team_against,Team_for
10,15986,17 Jiří Kvičínský (U),0,0,0,2009/2010,FBC Ressler boys,Sokol Rudná
11,15986,18 Martin Tuček (U),1,0,1,2009/2010,FBC Ressler boys,Sokol Rudná
12,15986,20 Marek Zeman (U),0,0,0,2009/2010,FBC Ressler boys,Sokol Rudná
0,17157,3 Jan Čížek (U),2,1,3,2009/2010,FBC Ressler boys,FBC Žraloci Příbram
1,17157,4 Martin Škopek (U),0,0,0,2009/2010,FBC Ressler boys,FBC Žraloci Příbram
2,17157,9 Jakub Dvořák (U),0,3,3,2009/2010,FBC Ressler boys,FBC Žraloci Příbram
3,17157,11 Ota Hauptmann (U),1,0,1,2009/2010,FBC Ressler boys,FBC Žraloci Příbram
4,17157,13 Martin Kalous (U),0,1,1,2009/2010,FBC Ressler boys,FBC Žraloci Příbram
5,17157,33 Hynek Hampl (U),0,1,1,2009/2010,FBC Ressler boys,FBC Žraloci Příbram
6,17157,55 Milan Štěrba (U),4,0,4,2009/2010,FBC Ressler boys,FBC Žraloci Příbram
7,17157,69 David Mráz (U),2,0,2,2009/2010,FBC Ressler boys,FBC Žraloci Příbram
0,17158,5 Jan Papoušek (U),1,0,1,2009/2010,FBC Ressler boys,Pragsport
1,17158,7 Jan Žolčák (U),0,0,0,2009/2010,FBC Ressler boys,Pragsport
2,17158,8 Jakub Stárek (U),1,0,1,2009/2010,FBC Ressler boys,Pragsport
3,17158,9 Jan Tichý (U),0,1,1,2009/2010,FBC Ressler boys,Pragsport
4,17158,10 Jan Kůs (U),0,0,0,2009/2010,FBC Ressler boys,Pragsport
5,17158,14 Tomáš Vendl (U),1,1,2,2009/2010,FBC Ressler boys,Pragsport
6,17158,17 Jakub Žolčák (U),1,1,2,2009/2010,FBC Ressler boys,Pragsport
7,17158,18 Zdeněk Novák (U),1,1,2,2009/2010,FBC Ressler boys,Pragsport
8,17158,20 Ondřej Himmer (U),0,0,0,2009/2010,FBC Ressler boys,Pragsport
0,18371,3 Kamil Štanda (U),0,0,0,2009/2010,FBC Ressler boys,FbŠ Bohemians BANG team D
1,18371,4 David Hofmann (U),0,1,1,2009/2010,FBC Ressler boys,FbŠ Bohemians BANG team D
2,18371,7 Jan Vážný (U),1,1,2,2009/2010,FBC Ressler boys,FbŠ Bohemians BANG team D
