,Id,Period,Time,Type,Goal,Assist,Season
2,41547,3. část,06:26,-,7 Miloš Zapadlo,21 Štěpán Trousil,2010/2011
0,43569,1. část,00:22,-,22 Jakub Nováček,4 Jakub Mádr,2010/2011
1,43569,1. část,03:24,-,7 Miloš Zapadlo,,2010/2011
2,43569,2. část,05:17,-,7 Miloš Zapadlo,3 Martin Elišák,2010/2011
3,43569,2. část,05:53,-,7 Miloš Zapadlo,49 Filip Trousil,2010/2011
4,43569,3. část,11:44,-,7 Miloš Zapadlo,,2010/2011
0,46482,2. část,07:48,-,3 Martin Elišák,21 Štěpán Trousil,2011/2012
1,46482,2. část,08:46,-,21 Štěpán Trousil,4 Jakub Mádr,2011/2012
2,46482,3. část,02:06,PP,21 Štěpán Trousil,48 Roman Žampach,2011/2012
0,48470,2. část,02:52,-,5 Ladislav Tyll,86 Zdeněk Karásek,2011/2012
1,48470,3. část,08:54,-,7 Miloš Zapadlo,21 Štěpán Trousil,2011/2012
0,48466,2. část,10:38,PP,9 Adam Štefánik,8 Filip Weber,2011/2012
0,50281,1. část,03:54,-,7 Miloš Zapadlo,49 Filip Trousil,2011/2012
1,50281,1. část,09:12,-,11 Václav Rides,77 Ctibor Chmelař,2011/2012
2,50281,1. část,11:28,-,21 Štěpán Trousil,7 Miloš Zapadlo,2011/2012
3,50281,2. část,03:27,-,7 Miloš Zapadlo,49 Filip Trousil,2011/2012
4,50281,2. část,09:57,-,5 Ladislav Tyll,22 Jakub Nováček,2011/2012
5,50281,3. část,04:43,-,21 Štěpán Trousil,8 Filip Weber,2011/2012
0,50278,1. část,00:56,-,5 Ladislav Tyll,,2011/2012
1,50278,1. část,02:36,-,21 Štěpán Trousil,3 Martin Elišák,2011/2012
2,50278,2. část,05:47,-,7 Miloš Zapadlo,8 Filip Weber,2011/2012
3,50278,2. část,05:54,-,21 Štěpán Trousil,7 Miloš Zapadlo,2011/2012
4,50278,3. část,05:40,-,77 Ctibor Chmelař,21 Štěpán Trousil,2011/2012
0,52514,1. část,03:05,-,11 Václav Rides,48 Roman Žampach,2011/2012
1,52514,1. část,03:41,-,22 Jakub Nováček,5 Ladislav Tyll,2011/2012
2,52514,1. část,11:55,PP,78 Zdeněk Máčel,11 Václav Rides,2011/2012
3,52514,2. část,00:50,-,5 Ladislav Tyll,4 Jakub Mádr,2011/2012
4,52514,2. část,08:47,-,77 Ctibor Chmelař,11 Václav Rides,2011/2012
5,52514,2. část,10:31,-,22 Jakub Nováček,17 Adam Štefánik,2011/2012
6,52514,3. část,00:21,-,11 Václav Rides,49 Filip Trousil,2011/2012
0,52510,1. část,00:17,-,5 Ladislav Tyll,22 Jakub Nováček,2011/2012
