,Id,Period,Time,Player,TM,Foul,Season
0,80013,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2012/2013
0,83399,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2013/2014
0,83412,1. část,01:26,12 Pavel Klemera,2,901 sekání,2013/2014
0,84452,3. část,04:11,17 Ondřej Krejčíř,2,901 sekání,2013/2014
1,84452,3. část,09:07,81 Milan Kouba,2,902 blokování hokejky,2013/2014
2,84452,3. část,10:10,9 Ondřej Rabiňák,2,907 nedovolené vrážení,2013/2014
0,84460,1. část,09:57,6 Josef Kardoš,2,915 nedovolená vzdálenost,2013/2014
1,84460,3. část,04:04,9 Bořek Sláma,2,923 opakované přestupky,2013/2014
2,84460,3. část,10:26,19 Martin Olšiak,2,911 bránění ve hře,2013/2014
0,87600,2. část,07:25,48 Jan Keresteš,2,922 špatné střídání,2013/2014
1,87600,3. část,11:58,10 Petr Tauš,2,925 nesportovní chování,2013/2014
0,87604,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2013/2014
0,88227,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2013/2014
0,88234,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2013/2014
0,91900,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2013/2014
0,91905,1. část,04:31,15 Jan Hrušovský,2,904 vysoká hokejka,2013/2014
0,95454,2. část,03:18,77 David Šmatlák,2,901 sekání,2013/2014
0,95459,2. část,09:38,94 Petr Chýle,2,909 hrubost,2013/2014
1,95459,2. část,09:38,94 Petr Chýle,2,925 nesportovní chování,2013/2014
2,95459,2. část,09:38,94 Petr Chýle,10,925 nesportovní chování,2013/2014
3,95459,3. část,08:45,44 Jan Fiedler,2,911 bránění ve hře,2013/2014
0,95507,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2013/2014
0,95526,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2013/2014
0,98491,2. část,07:01,57 Jakub Milion,2,923 opakované přestupky,2013/2014
0,98495,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2013/2014
0,101360,1. část,08:08,17 Petr Káda,2,904 vysoká hokejka,2013/2014
0,101363,2. část,11:03,13 Jan Vítkovský,2,901 sekání,2013/2014
1,101363,3. část,09:07,99 Jan Komenda,2,925 nesportovní chování,2013/2014
2,101363,3. část,09:07,99 Jan Komenda,10,925 nesportovní chování,2013/2014
3,101363,3. část,10:17,21 Jaroslav Rendla,2,901 sekání,2013/2014
0,102043,1. část,11:20,97 Jakub Šedina,2,903 nadzvedávání hokejky,2013/2014
1,102043,2. část,11:29,4 Michal Pirkl,2,923 opakované přestupky,2013/2014
0,102037,3. část,08:57,13 Jaroslav Krbec,2,925 nesportovní chování,2013/2014
0,106305,1. část,05:32,11 Ladislav Jelen,2,901 sekání,2014/2015
0,106307,2. část,05:12,19 Tomáš Milaberský,2,919 hra na zemi,2014/2015
1,106307,2. část,10:39,10 Zdeněk Burian,2,920 hra rukou,2014/2015
2,106307,3. část,08:32,6 Václav Skopový,2,902 blokování hokejky,2014/2015
0,107925,2. část,09:59,13 Jakub Krtička,2,921 hra hlavou,2014/2015
0,107938,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2014/2015
0,109356,1. část,10:15,23 Jiří Leisch,2,901 sekání,2014/2015
1,109356,2. část,07:03,20 Stanislav Prokop,2,909 hrubost,2014/2015
0,109353,3. část,01:31,10 Lukáš Huso,2,920 hra rukou,2014/2015
0,111025,3. část,00:34,17 Jakub Květoň,2,911 bránění ve hře,2014/2015
