,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
1,72096,1,03:55,-, Miloš Zapadlo, Filip Trousil,2012/2013,3,55,235
2,72096,1,07:59,-, Filip Weber,,2012/2013,7,59,479
0,73820,1,10:56,-, Miloš Zapadlo, Ctibor Chmelař,2012/2013,10,56,656
1,73820,2,08:13,-, Jakub Majerčin, Jakub Mádr,2012/2013,8,13,493
2,73820,2,11:48,OG, Luboš Fischer,,2012/2013,11,48,708
3,73820,3,08:36,-, Miloš Zapadlo, Ctibor Chmelař,2012/2013,8,36,516
0,73818,1,02:17,-, Roman Žampach, Ladislav Tyll,2012/2013,2,17,137
1,73818,2,04:13,-, Miloš Zapadlo, Ctibor Chmelař,2012/2013,4,13,253
2,73818,3,04:50,-, Miloš Zapadlo, Ctibor Chmelař,2012/2013,4,50,290
0,76508,3,02:12,-, Ladislav Tyll, Štěpán Trousil,2012/2013,2,12,132
1,76508,3,09:38,-, Ctibor Chmelař, Štěpán Trousil,2012/2013,9,38,578
0,76505,3,03:57,-, Miloš Zapadlo,,2012/2013,3,57,237
0,77839,3,04:05,-, Miloš Zapadlo, Filip Trousil,2012/2013,4,5,245
1,77839,3,04:38,-, Ctibor Chmelař, Ladislav Tyll,2012/2013,4,38,278
2,77839,3,08:14,-, Ctibor Chmelař, Ladislav Tyll,2012/2013,8,14,494
