,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season,Date,Place,Weekday,ref1,ref2,League
37,25954,FBC Ressler boys,FT Sokol Břevnov B,2,1,Win,sobota 27.03.2010; SH Zličín,počet diváků: 0,začátek 09:10; konec ,Utkání: 3XM72009/2010-D092; 19. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Flek Václav, Veverka Aleš",delegát: ,                  Miloš Zapadlo  Václav Rides,                   Lukáš Fietzek,                  Miloš Zapadlo  Václav Rides,2009/2010,27.03.2010, SH Zličín,sobota, Flek Václav, Veverka Aleš, PH+SČ soutěž mužů
38,25950,FBC Ressler boys,FbK TJ Sokol Žižkov II,2,4,Lose,sobota 27.03.2010; SH Zličín,počet diváků: 0,začátek 12:40; konec ,Utkání: 3XM72009/2010-D095; 20. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Kuška Petr, Vojtěch Ondřej",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                  Filip Bělský,                  Filip Bělský,2009/2010,27.03.2010, SH Zličín,sobota, Kuška Petr, Vojtěch Ondřej, PH+SČ soutěž mužů
39,27336,FBC Ressler boys,FK Spartak Praha B,3,9,Lose,neděle 25.04.2010; SH Stochov,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72009/2010-D101; 21. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Kněžík Martin, Knap Jan",delegát: ,                  Miloš Zapadlo,                Tomáš Růta,                Tomáš Růta,2009/2010,25.04.2010, SH Stochov,neděle, Kněžík Martin, Knap Jan, PH+SČ soutěž mužů
40,29252,FBC Ressler boys,FBC Falcons Žižkov,3,3,Draw,neděle 19.09.2010; TJ Radlice,počet diváků: 0,začátek 09:10; konec ,Utkání: 3XM72010/2011-G002; 1. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Paldus Šimon, Hrdlička Jan",delegát: ,                  Ladislav Tyll  Václav Rides,                    Štěpán Pavelka,                    Štěpán Pavelka,2010/2011,19.09.2010, TJ Radlice,neděle, Paldus Šimon, Hrdlička Jan, PH+SČ soutěž mužů
41,29250,FBC Ressler boys,FBK Sokol Vlašim,2,2,Draw,neděle 19.09.2010; TJ Radlice,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72010/2011-G004; 1. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Paldus Šimon, Hrdlička Jan",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",               Jan Bašta,               Jan Bašta,2010/2011,19.09.2010, TJ Radlice,neděle, Paldus Šimon, Hrdlička Jan, PH+SČ soutěž mužů
42,30521,FBC Ressler boys,Goalbusters Bystřice,3,6,Lose,sobota 02.10.2010; SH Bystřice,počet diváků: 0,začátek 10:20; konec ,Utkání: 3XM72010/2011-G012; 2. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Kuška Petr, Vojtěch Ondřej",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                   Ivan Preisler,                   Ivan Preisler,2010/2011,02.10.2010, SH Bystřice,sobota, Kuška Petr, Vojtěch Ondřej, PH+SČ soutěž mužů
43,30518,FBC Ressler boys,FbK Olymp Praha B,2,5,Lose,sobota 02.10.2010; SH Bystřice,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72010/2011-G015; 2. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Suchý Roman, Přibil Daniel",delegát: ,                 Filip Weber,                  Martin Kašík,                  Martin Kašík,2010/2011,02.10.2010, SH Bystřice,sobota, Suchý Roman, Přibil Daniel, PH+SČ soutěž mužů
44,31231,FBC Ressler boys,FBC Uhříněves,7,2,Win,neděle 17.10.2010; ZŠ Jiráskova Benešov,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72010/2011-G024; 3. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Brejcha Jan, Černý Jan",delegát: ,                    Miloš Zapadlo  Roman Žampach,"Empty DataFrame
Columns: [Player]
Index: []",                    Miloš Zapadlo  Roman Žampach,2010/2011,17.10.2010, ZŠ Jiráskova Benešov,neděle, Brejcha Jan, Černý Jan, PH+SČ soutěž mužů
45,31228,FBC Ressler boys,FBC Merkur Praha B,5,3,Win,neděle 17.10.2010; ZŠ Jiráskova Benešov,počet diváků: 0,začátek 17:20; konec ,Utkání: 3XM72010/2011-G027; 3. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Kropáček Jiří, Havlásek Lukáš",delegát: ,                  Václav Rides,                    Lukáš Bokr  Václav Hrubý,                  Václav Rides,2010/2011,17.10.2010, ZŠ Jiráskova Benešov,neděle, Kropáček Jiří, Havlásek Lukáš, PH+SČ soutěž mužů
46,32999,FBC Ressler boys,FbC Panthers F,4,2,Win,sobota 06.11.2010; TJ Radlice,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72010/2011-G028; 4. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Veverka Aleš, Holek Martin",delegát: ,                    Štěpán Trousil,"Empty DataFrame
Columns: [Player]
Index: []",                    Štěpán Trousil,2010/2011,06.11.2010, TJ Radlice,sobota, Veverka Aleš, Holek Martin, PH+SČ soutěž mužů
