,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
2,38225,2,11:26,-, Jakub Kricner, Jan Rychtařík,2010/2011,11,26,686
3,38225,3,01:17,-, Jan Hruška, Jakub Votruba,2010/2011,1,17,77
4,38225,3,11:25,-, Jakub Votruba, Jan Hruška,2010/2011,11,25,685
5,38225,3,11:53,-, Stanislav Zajíček, Jiří Kundrata,2010/2011,11,53,713
0,38223,1,10:05,-, Jan Urbanec, Jan Klimus,2010/2011,10,5,605
0,28904,1,03:06,-, Jan Čapek, Lukáš Bokr,2010/2011,3,6,186
1,28904,1,07:59,-, Jan Čapek, Lukáš Bokr,2010/2011,7,59,479
0,40660,1,07:29,-, Martin Zíma, Michael Rudolf,2010/2011,7,29,449
1,40660,1,11:00,-, Jakub Dajčar, Jiří Vacek,2010/2011,11,0,660
2,40660,2,04:21,-, Michael Rudolf, Lukáš Jenšík,2010/2011,4,21,261
3,40660,2,08:46,-, Vojtěch Šafránek, Petr Benedikt,2010/2011,8,46,526
4,40660,3,06:25,-, Vojtěch Šafránek, Petr Benedikt,2010/2011,6,25,385
0,41547,1,10:26,-, Matyáš Pokorný, David Rainhart,2010/2011,10,26,626
1,41547,2,07:40,-, Tomáš Pícha, Matyáš Pokorný,2010/2011,7,40,460
2,41547,2,09:31,-, Matyáš Pokorný, Tomáš Pícha,2010/2011,9,31,571
3,41547,3,07:01,-, David Rainhart, Tomáš Pícha,2010/2011,7,1,421
4,41547,3,10:08,-, Matyáš Pokorný,,2010/2011,10,8,608
0,43569,2,09:08,PP, Rudolf Gregor, Jiří Čala,2010/2011,9,8,548
1,43569,3,04:00,-, Jakub Kopecký, Robert Kučírka,2010/2011,4,0,240
2,43569,3,04:19,-, Robert Kučírka, Jakub Kopecký,2010/2011,4,19,259
0,46482,1,11:19,-, David Kohout, Tomáš Vrabec,2011/2012,11,19,679
1,46482,3,05:31,-, Filip Červený, Lukáš Malý,2011/2012,5,31,331
2,46482,3,05:59,-, David Kohout, Jiří Bábek,2011/2012,5,59,359
3,46482,3,07:53,-, Jiří Bábek, Filip Červený,2011/2012,7,53,473
0,48470,1,05:09,PP, Jiří Adam, Václav Římal,2011/2012,5,9,309
1,48470,2,03:47,-, Jan Havránek, Jakub Barták,2011/2012,3,47,227
2,48470,2,07:05,-, Jakub Barták,,2011/2012,7,5,425
3,48470,3,04:23,PP, Jakub Barták, Václav Římal,2011/2012,4,23,263
4,48470,3,05:25,-, Vojtěch Moravec, Jakub Bilík,2011/2012,5,25,325
5,48470,3,09:04,-, Jiří Adam,,2011/2012,9,4,544
6,48470,3,09:50,-, Jakub Bilík, Jakub Barták,2011/2012,9,50,590
0,48466,1,01:34,-, Tomáš Pícha, Aleš Chod,2011/2012,1,34,94
1,48466,2,05:13,-, Matyáš Pokorný, Tomáš Pícha,2011/2012,5,13,313
0,50281,1,02:15,-, Michal Mikeš, Jaroslav Biskup,2011/2012,2,15,135
1,50281,1,07:09,-, Tomáš Formánek, Ondřej Krejza,2011/2012,7,9,429
2,50281,2,00:35,-, Tomáš Horák, Michal Mikeš,2011/2012,0,35,35
3,50281,3,02:22,-, Tomáš Formánek, Aleš Bílek,2011/2012,2,22,142
0,50278,1,00:10,-, Oldřich Pešek, Tomáš Grznár,2011/2012,0,10,10
1,50278,2,05:33,-, Oldřich Pešek, Tomáš Grznár,2011/2012,5,33,333
2,50278,3,06:09,-, Tomáš Grznár, Oldřich Pešek,2011/2012,6,9,369
0,52514,2,06:28,-, Bohuslav Bek, Petr Chýle,2011/2012,6,28,388
0,53206,1,07:00,-, Jan Urbanec, Tomáš Doležal,2011/2012,7,0,420
1,53206,2,04:41,PP, Miroslav Mašek, Miroslav Špaček,2011/2012,4,41,281
0,53208,2,00:29,-, Robin Franče, Michal Karban,2011/2012,0,29,29
0,55810,3,07:06,-, David Kohout, Oskar Bábek,2011/2012,7,6,426
1,55810,3,10:17,-, Oskar Bábek,,2011/2012,10,17,617
0,56545,1,10:24,-, Jiří Adam, Jakub Barták,2011/2012,10,24,624
1,56545,3,01:11,-, Jiří Adam, Václav Římal,2011/2012,1,11,71
0,56541,2,04:14,-, Filip Horálek, Jan Coufal,2011/2012,4,14,254
1,56541,3,01:09,-, Radek Vichta, Martin Mičlo,2011/2012,1,9,69
2,56541,3,02:57,-, Filip Horálek,,2011/2012,2,57,177
3,56541,3,08:42,PP, Filip Horálek, Martin Mičlo,2011/2012,8,42,522
4,56541,3,09:48,PP, Martin Mičlo, Matyáš Pokorný,2011/2012,9,48,588
0,58485,1,05:08,PP, Oldřich Pešek, Jan Voříšek,2011/2012,5,8,308
1,58485,1,06:22,SH, Tomáš Grznár, Lukáš Frydrych,2011/2012,6,22,382
2,58485,2,10:13,-, Miroslav Šíp, Oldřich Pilecký,2011/2012,10,13,613
3,58485,3,00:10,-, Oldřich Pilecký,,2011/2012,0,10,10
0,58483,3,04:16,PS, Tomáš Horák,,2011/2012,4,16,256
0,59987,1,03:43,-, Petr Chýle, Ondřej Šplíchal,2011/2012,3,43,223
1,59987,1,07:03,-, Martin Chýle, Petr Chýle,2011/2012,7,3,423
2,59987,3,06:44,PP, Boris Černý, Bohuslav Bek,2011/2012,6,44,404
3,59987,3,09:06,-, Boris Černý, Bohuslav Bek,2011/2012,9,6,546
0,61490,2,03:04,-, Michal Karban, Robin Franče,2011/2012,3,4,184
1,61490,2,11:15,-, Jakub Mintal, Michal Kocourek,2011/2012,11,15,675
2,61490,3,04:58,PP, Michal Kocourek, Robin Franče,2011/2012,4,58,298
3,61490,3,08:49,-, Robin Franče, Michal Karban,2011/2012,8,49,529
0,61483,2,04:14,-, Miroslav Mašek, Jan Urbanec,2011/2012,4,14,254
1,61483,3,07:17,-, Vít Vrtiška, Jaroslav Český,2011/2012,7,17,437
0,64575,1,08:57,-, Lukáš Fietzek, Tomáš Pilař,2012/2013,8,57,537
1,64575,2,02:30,-, Lukáš Fietzek, Ondřej Daniš,2012/2013,2,30,150
2,64575,3,11:46,-, Tomáš Pilař,,2012/2013,11,46,706
0,64573,1,00:55,-, Martin Uher, Tomáš Jelínek,2012/2013,0,55,55
1,64573,1,02:19,-, Tomáš Jeřábek,,2012/2013,2,19,139
2,64573,2,03:12,-, Martin Uher, Tomáš Jeřábek,2012/2013,3,12,192
0,66191,1,04:38,-, Martin Smetana, Martin Švácha,2012/2013,4,38,278
1,66191,2,03:31,PP, David Martynek, Martin Smetana,2012/2013,3,31,211
2,66191,3,03:45,PP, Vítek Vančura, Martin Bezchleba,2012/2013,3,45,225
0,66193,1,01:07,-, Jaroslav Vlček, Jaroslav Skácel,2012/2013,1,7,67
1,66193,2,03:54,-, Jaroslav Skácel, Jan Slabý,2012/2013,3,54,234
2,66193,2,08:34,-, Jaroslav Skácel, Jaroslav Vlček,2012/2013,8,34,514
3,66193,3,01:48,PP, Jaroslav Vlček, Martin Sičár,2012/2013,1,48,108
4,66193,3,04:45,-, Jaroslav Vlček, Martin Sičár,2012/2013,4,45,285
0,67676,1,05:30,-, Petr Švancar, Vojtěch Paul,2012/2013,5,30,330
1,67676,2,03:25,-, Jaroslav Šimek, Evžen Teringl,2012/2013,3,25,205
2,67676,3,04:41,-, Evžen Teringl, Jaroslav Šimek,2012/2013,4,41,281
3,67676,3,09:38,-, Petr Veselý,,2012/2013,9,38,578
0,67674,1,06:07,PP, Martin Kostiha,,2012/2013,6,7,367
1,67674,2,05:05,-, Martin Kostiha, Daniel Šonský,2012/2013,5,5,305
2,67674,2,05:45,-, Marek Vrána, Jakub Valchář,2012/2013,5,45,345
3,67674,2,08:00,-, Marek Bíl, Martin Kostiha,2012/2013,8,0,480
