,Id,Period,Time,Player,TM,Foul,Season
1,113892,3. část,10:49, Miloš Zapadlo,5,907 nedovolené vrážení,2014/2015
2,113892,3. část,11:44, Roman Žampach,2,925 nesportovní chování,2014/2015
3,113892,3. část,11:44, Roman Žampach,10,925 nesportovní chování,2014/2015
0,115955,2. část,06:34, Zdeněk Karásek,2,909 hrubost,2014/2015
1,115955,3. část,11:52, Zdeněk Karásek,2,908 vražení zády,2014/2015
0,119728,1. část,00:29, Jakub Nováček,2,922 špatné střídání,2014/2015
1,119728,2. část,08:18, Miloš Zapadlo,5,909 hrubost,2014/2015
2,119728,2. část,08:18, Michal Rosí,2,911 bránění ve hře,2014/2015
3,119728,2. část,08:18, Miloš Zapadlo,10,612 vyloučení do konce utkání,2014/2015
4,119728,2. část,11:58, Michal Rosí,2,902 blokování hokejky,2014/2015
0,119733,2. část,04:32, Zdeněk Karásek,2,907 nedovolené vrážení,2014/2015
1,119733,3. část,00:27, Ladislav Tyll,2,902 blokování hokejky,2014/2015
0,120431,3. část,10:05, Filip Trousil,2,911 bránění ve hře,2014/2015
0,125857,2. část,02:53, Štěpán Trousil,2,907 nedovolené vrážení,2014/2015
1,125857,3. část,05:50, Michal Rosí,2,909 hrubost,2014/2015
0,125859,1. část,11:24, Miloš Zapadlo,2,911 bránění ve hře,2014/2015
1,125859,2. část,00:55, Jakub Mádr,2,907 nedovolené vrážení,2014/2015
0,127351,1. část,10:48, Ctibor Chmelař,2,901 sekání,2014/2015
1,127351,3. část,05:14, Štěpán Trousil,2,921 hra hlavou,2014/2015
0,127354,2. část,02:06, Michal Rosí,2,915 nedovolená vzdálenost,2014/2015
1,127354,3. část,11:27, Ctibor Chmelař,2,926 hra bez hokejky,2014/2015
0,130050,1. část,05:57, Zdeněk Karásek,2,901 sekání,2015/2016
0,130052,2. část,10:22, Jakub Nováček,2,901 sekání,2015/2016
0,132892,2. část,04:29, Martin Elišák,2,901 sekání,2015/2016
1,132892,3. část,08:20, Martin Elišák,2,911 bránění ve hře,2015/2016
0,132901,1. část,11:41, Zdeněk Karásek,2,904 vysoká hokejka,2015/2016
1,132901,2. část,09:49, Roman Žampach,2,919 hra na zemi,2015/2016
0,134348,1. část,04:32, Tomáš Knor,2,901 sekání,2015/2016
0,134351,1. část,00:13, Marek Václavík,2,902 blokování hokejky,2015/2016
1,134351,2. část,02:17, Jakub Edr,2,902 blokování hokejky,2015/2016
2,134351,2. část,09:45, Tomáš Knor,2,901 sekání,2015/2016
3,134351,3. část,07:25, Michal Rosí,2,909 hrubost,2015/2016
0,137002,3. část,00:02, Filip Weber,2,901 sekání,2015/2016
0,137005,2. část,11:22, Štěpán Trousil,2,907 nedovolené vrážení,2015/2016
1,137005,3. část,03:53, Michal Rosí,2,922 špatné střídání,2015/2016
2,137005,3. část,07:05, Jakub Edr,2,909 hrubost,2015/2016
0,144401,1. část,04:48, Filip Weber,2,901 sekání,2015/2016
1,144401,3. část,05:46, Jakub Mádr,2,901 sekání,2015/2016
0,144406,3. část,01:36, Filip Weber,2,901 sekání,2015/2016
1,144406,3. část,03:59, Jakub Mádr,2,901 sekání,2015/2016
0,145420,1. část,08:10, Ctibor Chmelař,2,901 sekání,2015/2016
0,150361,1. část,04:22, Martin Elišák,2,901 sekání,2015/2016
1,150361,1. část,11:11, Michal Rosí,2,908 vražení zády,2015/2016
0,150367,3. část,03:09, Štěpán Trousil,2,915 nedovolená vzdálenost,2015/2016
1,150367,3. část,10:58, Miloš Zapadlo,5,909 hrubost,2015/2016
2,150367,3. část,11:01, Michal Rosí,2,915 nedovolená vzdálenost,2015/2016
0,151965,1. část,08:29, Štěpán Trousil,2,903 nadzvedávání hokejky,2015/2016
1,151965,3. část,07:29, Roman Žampach,2,901 sekání,2015/2016
0,154870,3. část,04:58, Roman Žampach,2,914 hra v malém brankovišti,2015/2016
0,154873,1. část,08:26, Jakub Mádr,2,919 hra na zemi,2015/2016
1,154873,2. část,07:06, Ctibor Chmelař,10,925 nesportovní chování,2015/2016
2,154873,2. část,07:06, Ctibor Chmelař,2,901 sekání,2015/2016
3,154873,2. část,07:06, Ctibor Chmelař,2,925 nesportovní chování,2015/2016
4,154873,3. část,05:32, Roman Žampach,2,926 hra bez hokejky,2015/2016
0,158141,3. část,05:59, Michal Rosí,2,915 nedovolená vzdálenost,2016/2017
0,160699,1. část,11:03, Štěpán Trousil,2,901 sekání,2016/2017
1,160699,1. část,11:59, Filip Trousil,2,909 hrubost,2016/2017
2,160699,2. část,10:09, Štěpán Trousil,2,911 bránění ve hře,2016/2017
3,160699,3. část,09:07, Štěpán Trousil,2,901 sekání,2016/2017
0,167705,1. část,09:44, Miloš Zapadlo,2,925 nesportovní chování,2016/2017
1,167705,2. část,02:34, Michal Rosí,2,908 vražení zády,2016/2017
2,167705,3. část,04:54, Štěpán Trousil,2,911 bránění ve hře,2016/2017
0,167707,1. část,10:20, Michal Rosí,2,907 nedovolené vrážení,2016/2017
1,167707,2. část,06:46, Štěpán Trousil,5,909 hrubost,2016/2017
2,167707,2. část,06:46, Filip Trousil,2,925 nesportovní chování,2016/2017
0,170890,2. část,04:03, Marek Václavík,2,901 sekání,2016/2017
1,170890,3. část,10:55, Miloš Zapadlo,2,911 bránění ve hře,2016/2017
0,173014,3. část,01:39, Zdeněk Karásek,2,901 sekání,2016/2017
0,173022,3. část,06:19, Zdeněk Karásek,2,901 sekání,2016/2017
0,177660,2. část,04:31, Filip Weber,2,901 sekání,2016/2017
1,177660,2. část,06:07, Jakub Edr,2,901 sekání,2016/2017
2,177660,3. část,04:19, Michal Rosí,2,911 bránění ve hře,2016/2017
0,177076,1. část,11:30, Miloš Zapadlo,2,925 nesportovní chování,2016/2017
